Fecha Bajada,ID,Consulta1[CUIT],Consulta1[NombreDist],Consulta1[Fechacreacion],Consulta1[TipoCuenta],Consulta1[Direccion],Consulta1[Ciudad],Consulta1[Provincia_txt],Consulta1[CP],Consulta1[SalesDistrict],Consulta1[SalesDistrict_txt],Consulta1[SalesOffice],Consulta1[SalesOffice_txt],Consulta1[SalesGroup],Consulta1[SalesGroup_txt],Consulta1[CustomerGroup],Consulta1[CustomerGroup_txt],exists_in_tms
2026-03-02,3714552,33581249549,GRUPO QUEMU S. A,2019-03-15T00:00:00,ShipTo, RUTA 1 KM 130,QUEMU QUEMU,La Pampa,6333,E00036,I - S - OESTE,E159,S - OESTE 3 - I,EJW,0356 Cereales Quemu,E2,Centro de Soluciones,True
2026-03-02,3349937,30708696648,GRUPO SAV ARGENTINA SA,2012-05-04T00:00:00,SoldTo,RUTA NACIONAL 12 Y RUTA PCIAL 8,CERRITO,Entre Rios,3122,E00032,I - N - ESTE,E141,N - ESTE 3 - I,E86,0880 GRUPO SAV ARGEN,E2,Centro de Soluciones,True
2026-03-02,3354402,30709224960,GUALEGUAY CEREALES SA,2012-06-06T00:00:00,SoldTo,LAVALLE 422 PISO 04,CIUDAD AUTONOMA BUENOS AIRES,Capital Federal,1047,E00022,C - N - ESTE,E099,N - ESTE 2 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3631807,30709224960,GUALEGUAY CEREALES SA,2017-04-05T00:00:00,ShipTo,RUTA 12 KM 248,GUALEGUAY,Entre Rios,2840,E00022,C - N - ESTE,E099,N - ESTE 2 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,3581105,30542648747,GUAZZARONI GRECO SOCIEDAD ANONIMA,2016-04-07T00:00:00,SoldTo,RUTA 5 KM 262 0,9 DE JULIO,Buenos Aires,6500,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,ET,Distribuidor Regiona,True
2026-03-02,3806745,30542648747,GUAZZARONI GRECO SOCIEDAD ANONIMA,2022-09-30T00:00:00,ShipTo,RUTA NAC NÂº 5 - KM 450,TRENQUE LAUQUEN,Buenos Aires,6400,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,ET,Distribuidor Regiona,True
2026-03-02,3807072,30542648747,GUAZZARONI GRECO SOCIEDAD ANONIMA,2022-10-03T00:00:00,ShipTo,RUTA NAC N 188 KM 361,GENERAL VILLEGAS,Buenos Aires,6230,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,ET,Distribuidor Regiona,True
2026-03-02,3810307,30542648747,GUAZZARONI GRECO SOCIEDAD ANONIMA,2022-12-21T00:00:00,ShipTo,RUTA NAC NRO 5 KM 310,CARLOS CASARES,Buenos Aires,6530,E00025,C - S - NUCLEO,E115,S - NUCLEO 3 - C,E40,0040 Central Maipu,ET,Distribuidor Regiona,True
2026-03-02,3261318,20215349463,HANSEN CHRISTIAN FEDERICO,2011-01-26T00:00:00,SoldTo,24 865,LA DULCE,Buenos Aires,7637,E00024,C - S - SUR,E108,S - SUR 1 - C,E40,0040 Central Maipu,EW,Distribuidor Selecta,True
2026-03-02,1813674,30708129727,HECTOR VIDAL Y ASOC SRL,2004-12-17T00:00:00,SoldTo,"RUTA AO 12 KM 47,5 LOTE B1 0 - LOTE",ROLDAN,Santa Fe,2134,E00023,C - N - NUCLEO,E105,N - NUCLEO 2 - C,E40,0040 Central Maipu,EV,Dist. Selecta PLUS,True
